station,file,lon,lat,phi_min,phi_max,skew,elliptic,azimuth,tip_mag_re,tip_ang_re,tip_mag_im,tip_ang_im
VIC003,VIC003.edi,142.974,-38.517,6.95,52.18,-4.52,0.76,38.55,0.65,166.37,0.12,-1.87
VIC004,VIC004.edi,143.494,-38.503,3.14,78.58,-4.98,0.92,64.69,0.38,175.81,0.14,5.55
VIC005,VIC005.edi,143.986,-38.488,29.25,40.71,12.89,0.16,-97.15,0.25,-166.82,0.11,15.27
VIC006,VIC006.edi,144.998,-38.417,11.2,35.57,7.85,0.52,37.44,0.33,-144.35,0.1,-59.25
VIC007,VIC007.edi,145.511,-38.47,22.35,40.12,8.67,0.28,31.93,0.22,-173.62,0.08,-17.52
VIC008,VIC008.edi,145.995,-38.499,21.88,25.34,-6.48,0.07,-79.91,0.26,-146.37,0.09,-43.73
VIC009,VIC009.edi,146.48,-38.478,-39.44,46.82,22.24,11.69,17.73,0.14,149.92,0.09,-17.47
VIC010,VIC010.edi,147.027,-38.434,15.75,45.21,-6.12,0.48,85.75,0.14,149.07,0.1,-18.36
VIC011,VIC011.edi,141.027,-38.003,22.18,39.59,1.29,0.28,28.92,0.78,-173.43,0.2,-18.49
VIC012,VIC012.edi,141.51,-37.944,-0.29,51.69,-16.94,1.01,57.91,0.59,-167.75,0.2,-22.93
VIC013,VIC013.edi,142.023,-37.971,46.57,54.38,-5.93,0.08,11.95,0.69,176.5,0.09,-51.37
VIC014,VIC014.edi,142.467,-37.953,22.57,66.92,-7.87,0.5,35.63,0.64,166.57,0.04,-72.53
VIC015,VIC015.edi,143.011,-37.966,18.92,57.77,-10.85,0.51,41.41,0.72,159.97,0.1,23.58
VIC016,VIC016.edi,143.465,-37.956,20.64,37.16,2.79,0.29,50.89,0.67,167.6,0.1,11.41
VIC017,VIC017.edi,144.002,-37.97,18.36,48.19,-2.14,0.45,42.41,0.31,165.59,0.08,-1.04
VIC018,VIC018.edi,144.479,-37.972,18.69,42.13,-0.53,0.39,40.44,0.31,152.15,0.15,28.15
VIC021,VIC021.edi,146.046,-37.998,-30.62,73.13,61.99,2.44,-3.11,0.17,141.52,0.11,27.27
