Format:  EMData_1.1 
!mode:   DET
!rotation_angle = 0.00
# Transmitters: 1
0 0 0 0 0 
# Frequencies:   43
   +7.812500e+01
   +6.250000e+01
   +4.687500e+01
   +3.906250e+01
   +3.125000e+01
   +2.343750e+01
   +1.953125e+01
   +1.562500e+01
   +1.171875e+01
   +9.765625e+00
   +7.812500e+00
   +6.250000e+00
   +4.687500e+00
   +3.906250e+00
   +3.125000e+00
   +2.343750e+00
   +1.953125e+00
   +1.562500e+00
   +1.171875e+00
   +9.765630e-01
   +7.812500e-01
   +5.859380e-01
   +4.882810e-01
   +3.906250e-01
   +2.929690e-01
   +2.441410e-01
   +1.953130e-01
   +1.464840e-01
   +1.220700e-01
   +9.765600e-02
   +7.324200e-02
   +6.103500e-02
   +4.882800e-02
   +3.662100e-02
   +3.051800e-02
   +2.441400e-02
   +1.831100e-02
   +1.525900e-02
   +1.220700e-02
   +9.155000e-03
   +7.629000e-03
   +6.104000e-03
   +4.578000e-03
# Receivers: 1 
0 0 0 0 0 0 
# Data:      86
!Type      Freq#      TX#      Rx#      Data      Std_Error
RhoZxy      1      0      1      +4.562264e+00      +2.281132e-01
PhsZxy      1      0      1      +5.280050e+01      +1.000000e+00
RhoZxy      2      0      1      +4.368691e+00      +2.184346e-01
PhsZxy      2      0      1      +5.064502e+01      +1.000000e+00
RhoZxy      3      0      1      +4.504174e+00      +2.252087e-01
PhsZxy      3      0      1      +4.880245e+01      +1.000000e+00
RhoZxy      4      0      1      +4.286948e+00      +2.143474e-01
PhsZxy      4      0      1      +5.035780e+01      +1.000000e+00
RhoZxy      5      0      1      +4.251210e+00      +2.125605e-01
PhsZxy      5      0      1      +4.982543e+01      +1.000000e+00
RhoZxy      6      0      1      +4.151302e+00      +2.075651e-01
PhsZxy      6      0      1      +4.930928e+01      +1.000000e+00
RhoZxy      7      0      1      +4.100385e+00      +2.050193e-01
PhsZxy      7      0      1      +4.952119e+01      +1.000000e+00
RhoZxy      8      0      1      +3.866709e+00      +1.933354e-01
PhsZxy      8      0      1      +4.983342e+01      +1.000000e+00
RhoZxy      9      0      1      +3.997005e+00      +1.998503e-01
PhsZxy      9      0      1      +4.926676e+01      +1.000000e+00
RhoZxy      10      0      1      +3.398864e+00      +1.699432e-01
PhsZxy      10      0      1      +5.123818e+01      +1.000000e+00
RhoZxy      11      0      1      +3.560890e+00      +1.780445e-01
PhsZxy      11      0      1      +5.054532e+01      +1.000000e+00
RhoZxy      12      0      1      +4.142327e+00      +2.071164e-01
PhsZxy      12      0      1      +5.065904e+01      +1.000000e+00
RhoZxy      13      0      1      +3.844989e+00      +1.922495e-01
PhsZxy      13      0      1      +4.990872e+01      +1.000000e+00
RhoZxy      14      0      1      +3.023967e+00      +1.511984e-01
PhsZxy      14      0      1      +4.795225e+01      +1.000000e+00
RhoZxy      15      0      1      +2.872747e+00      +1.436374e-01
PhsZxy      15      0      1      +4.579894e+01      +1.000000e+00
RhoZxy      16      0      1      +2.770790e+00      +1.385395e-01
PhsZxy      16      0      1      +4.203595e+01      +1.000000e+00
RhoZxy      17      0      1      +2.682647e+00      +1.341323e-01
PhsZxy      17      0      1      +3.898202e+01      +1.000000e+00
RhoZxy      18      0      1      +2.776279e+00      +1.388139e-01
PhsZxy      18      0      1      +3.565671e+01      +1.000000e+00
RhoZxy      19      0      1      +3.052912e+00      +1.526456e-01
PhsZxy      19      0      1      +3.158702e+01      +1.000000e+00
RhoZxy      20      0      1      +3.212562e+00      +1.606281e-01
PhsZxy      20      0      1      +2.862502e+01      +1.000000e+00
RhoZxy      21      0      1      +3.622907e+00      +1.811454e-01
PhsZxy      21      0      1      +2.599612e+01      +1.000000e+00
RhoZxy      22      0      1      +4.454756e+00      +2.227378e-01
PhsZxy      22      0      1      +2.299197e+01      +1.000000e+00
