FORMAT:           OCCAM2MTDATA_1.0
TITLE:            MTpy-OccamDatafile, Profile=97.0 deg, Strike=7.0 deg
SITES:            15
   pb44
   pb43
   pb42
   pb41
   pb40
   pb39
   pb37
   pb35
   pb23
   pb25
   pb27
   pb29
   pb30
   pb32
   pb33
OFFSETS (M):      
   0.0
   2003.4
   3006.2
   3792.8
   4340.2
   4710.8
   5749.0
   6464.4
   7263.5
   7861.3
   8758.1
   9701.6
   10250.2
   11974.7
   14004.2
FREQUENCIES:      19
   7.812500e+01
   6.250000e+01
   4.687500e+01
   3.906250e+01
   3.125000e+01
   2.343750e+01
   1.953125e+01
   1.562500e+01
   1.171875e+01
   9.765625e+00
   7.812500e+00
   6.250000e+00
   4.687500e+00
   3.906250e+00
   3.125000e+00
   2.343750e+00
   1.953125e+00
   1.562500e+00
   1.171875e+00
DATA BLOCKS:      1140
SITE  FREQ  TYPE   DATUM    ERROR   
  1     1     1      0.8113   0.0434
  1     1     2     52.7366   2.8660
  1     1     5      0.8351   0.0434
  1     1     6     54.1683   2.8660
  1     2     1      0.7927   0.0434
  1     2     2     51.4605   2.8660
  1     2     5      0.8075   0.0434
  1     2     6     52.3340   2.8660
  1     3     1      0.8067   0.0434
  1     3     2     50.3912   2.8660
  1     3     5      0.8249   0.0434
  1     3     6     50.7841   2.8660
  1     4     1      0.7791   0.0434
  1     4     2     52.0109   2.8660
  1     4     5      0.7986   0.0434
  1     4     6     52.3894   2.8660
  1     5     1      0.7709   0.0434
  1     5     2     52.0546   2.8660
  1     5     5      0.7939   0.0434
  1     5     6     52.4016   2.8660
  1     6     1      0.7380   0.0434
  1     6     2     52.4919   2.8660
  1     6     5      0.7709   0.0434
  1     6     6     52.4795   2.8660
  1     7     1      0.7241   0.0434
  1     7     2     52.6396   2.8660
  1     7     5      0.7485   0.0434
  1     7     6     52.6980   2.8660
  1     8     1      0.6961   0.0434
  1     8     2     52.6552   2.8660
  1     8     5      0.7075   0.0434
  1     8     6     52.8926   2.8660
  1     9     1      0.7057   0.0434
  1     9     2     51.6329   2.8660
  1     9     5      0.7255   0.0434
  1     9     6     52.0384   2.8660
  1     10    1      0.6200   0.0434
  1     10    2     53.1932   2.8660
  1     10    5      0.6197   0.0434
  1     10    6     52.4863   2.8660
  1     11    1      0.6264   0.0434
