attribute,type,required,style,units,description,options,alias,example
name,str,TRUE,free form,none,closest geographic name to the station,none,none,"Whitehorse, YK"
id,str,TRUE,alpha numeric,none,Station ID name.  This should be an alpha numeric name that is typically 5-6 characters long.  Commonly the project name in 2 or 3 letters and the station number.,none,none,MT001
run_list,str,TRUE,name list,none,list of runs recorded by the station. Should be a summary of all runss recorded,[ a | b | c | other ],none,"[ mt001a, mt001b, mt001c ]"
project,str,TRUE,free form,none,Name of the project,none,none,USMTArray
survey,str,TRUE,free form,none,Name of the survey,none,none,MT 2020
year_collected,int,TRUE,number,none,Year data collected,none,none,2020
country,str,TRUE,free form,none,Country where data was collected,none,none,USA
acquired_by,str,TRUE,free form,none,Person or group who collected the data,none,none,MT Group
start,str,TRUE,date time,none,Date time when the data collection started,none,none,2020-01-01T12:00:00
end,str,TRUE,date time,none,Date time when the data collection ended,none,none,2020-05-01T12:00:00
