attribute,type,required,style,units,description,options,alias,example
survey_id,str,TRUE,alpha numeric,none,Alphanumeric survey ID that will be specific to the archive,none,none,EMT20 
comments,str,FALSE,free form,none,any comments about the survey,none,none,long survey
country,str,TRUE,free form,none,country(s) countries survey located in. If multiple input as comma separated names,none,none,"[USA, Canada]"
datum,str,TRUE,controlled vocabulary,none,datum of latitude and longitude coordinates. Should be a well-known datum [ WGS84 ] and will be the reference datum for all location,[ WGS84 | NAD27 | NAD83 | ETRS89 | GDA94 | PZ-90.11 | other ],none,WGS84
geographic_name,str,TRUE,free form,none,closest geographic reference to survey,none,none,Yukon
name,str,TRUE,free form,none,descriptive name of the survey,none,none,MT Characterization of Yukon Terrane
project,str,TRUE,free form,none,alphanumeric name for the project e.g USGS-GEOMAG,none,none,YUTOO
summary,str,TRUE,free form,none,summary paragraph of survey including the purpose; difficulties; data quality; summary of outcomes if the data have been processed and modeled,none,none,long project of characterizing mineral resources in Yukon
time_period.end_date,str,TRUE,date,None,end date of the survey in UTC,none,none,1/2/1995
time_period.start_date,str,TRUE,date,None,start date of the survey in UTC,none,none,1/2/2020
